ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,gesture,person
-0.16,-0.175,9.943,-1.229,3.939,0.496,nada,2.0
-0.022,-0.141,9.795,-1.908,4.389,0.855,nada,2.0
-0.098,-0.204,9.838,-1.969,4.824,0.687,nada,2.0
-0.053,-0.194,9.819,-1.534,4.885,0.817,nada,2.0
-0.055,-0.261,9.823,-1.115,5.58,0.183,nada,2.0
0.019,-0.18,9.785,-4.16,6.244,0.969,nada,2.0
0.007,-0.287,10.063,-1.099,4.748,0.061,nada,2.0
-0.019,-0.182,9.89,-1.931,4.328,0.855,nada,2.0
-0.014,-0.249,10.048,0.038,5.153,-0.275,nada,2.0
-0.124,-0.184,9.826,-1.008,4.191,0.359,nada,2.0
-0.086,-0.182,9.845,-2.023,4.069,0.977,nada,2.0
-0.062,-0.139,9.847,-1.443,4.305,0.313,nada,2.0
-0.043,-0.199,9.859,-0.794,5.359,0.733,nada,2.0
-0.031,-0.184,9.867,-1.206,4.969,0.397,nada,2.0
-0.17,-0.218,9.828,-1.084,4.412,0.855,nada,2.0
-0.053,-0.302,9.893,-0.458,5.664,1.847,nada,2.0
-0.041,-0.235,9.831,-0.901,4.527,1.466,nada,2.0
-0.045,-0.206,9.888,-0.618,4.244,1.137,nada,2.0
0.038,-0.223,9.874,-1.985,5.031,0.168,nada,2.0
-0.074,-0.18,9.914,-1.038,4.847,-0.466,nada,2.0
-0.045,-0.215,9.917,-3.321,4.412,1.13,nada,2.0
-0.029,-0.184,9.955,-3.069,3.511,0.878,nada,2.0
-0.086,-0.232,9.859,0.893,4.71,-0.931,nada,2.0
-0.048,-0.306,9.847,-2.359,2.031,1.115,nada,2.0
-0.062,-0.206,9.713,-1.053,6.878,-0.29,nada,2.0
0.019,-0.211,9.905,-2.29,5.313,0.863,nada,2.0
0.124,-0.239,9.802,-0.198,4.252,0.618,nada,2.0
-0.019,-0.266,10.01,-1.366,5.756,0.13,nada,2.0
-0.012,-0.134,9.972,-2.611,3.198,1.198,nada,2.0
-0.029,-0.158,9.946,-1.191,5.42,0.252,nada,2.0
-0.053,-0.239,9.929,-0.626,5.595,0.427,nada,2.0
-0.002,-0.268,9.955,-1.298,4.794,0.458,nada,2.0
-0.12,-0.148,9.742,-0.344,4.374,0.076,nada,2.0
0.024,-0.28,9.84,-1.496,6.817,0.71,nada,2.0
-0.105,-0.192,9.941,-1.557,5.282,-0.137,nada,2.0
-0.096,-0.268,9.919,-1.191,4.809,0.55,nada,2.0
-0.074,-0.175,9.965,-1.16,4.267,0.992,nada,2.0
0.038,-0.232,9.926,-0.748,3.725,0.664,nada,2.0
-0.108,-0.227,9.84,-0.397,4.015,-0.198,nada,2.0
0.103,-0.316,9.886,-2.702,4.137,0.817,nada,2.0
-0.077,-0.163,9.862,-2.374,4.588,0.275,nada,2.0
-0.012,-0.239,9.718,-0.718,5.29,0.366,nada,2.0
-0.065,-0.28,9.859,-2.611,4.679,0.298,nada,2.0
-0.103,-0.151,9.867,-2.802,3.893,1.405,nada,2.0
-0.002,-0.225,9.926,-0.435,5.786,0.221,nada,2.0
0.05,-0.249,9.816,-2.733,4.786,1.55,nada,2.0
0.065,-0.383,9.898,-0.42,6.115,-0.962,nada,2.0
-0.031,-0.354,9.902,-2.076,3.794,0.802,nada,2.0
-0.019,-0.239,9.797,-2.824,3.198,0.679,nada,2.0
-0.002,-0.254,9.816,-1.26,6.42,0.786,nada,2.0
-0.069,-0.227,9.79,-3.382,3.733,0.84,nada,2.0
-0.084,-0.316,9.917,-0.313,6.656,0.145,nada,2.0
-0.041,-0.256,9.895,-2.061,5.046,1.0,nada,2.0
0.005,-0.273,9.948,-1.176,4.305,1.031,nada,2.0
